TIME(PST),T_1,T_2,T_3,T_4,H_g,WVC,R_n,H
2009/07/29 07:15,14.401,14.178,14.288,12.499,1.51,0.232,150.3,-9999
2009/07/29 07:30,14.536,14.218,14.257,12.482,2.1,0.232,192.1,38.4
2009/07/29 07:45,14.708,14.228,14.219,12.488,2.66,0.232,226.7,-9999
2009/07/29 08:00,14.885,14.294,14.199,12.479,3.15,0.232,258.4,65.1
2009/07/29 08:15,15.014,14.329,14.128,12.434,3.67,0.232,291.5,-9999
2009/07/29 08:30,15.201,14.416,14.139,12.415,4.14,0.232,322.2,81.0
2009/07/29 08:45,15.368,14.47,14.065,12.443,4.61,0.232,352.1,-9999
2009/07/29 09:00,15.551,14.523,14.078,12.425,5.06,0.232,381.2,102.0
2009/07/29 09:15,15.795,14.628,14.108,12.429,5.46,0.232,405.3,-9999
2009/07/29 09:30,16.032,14.711,14.117,12.405,5.96,0.232,425.0,137.4
2009/07/29 09:45,16.258,14.814,14.123,12.404,6.49,0.231,457.3,-9999
2009/07/29 10:00,16.489,14.909,14.144,12.419,7.01,0.231,480.8,146.5
2009/07/29 10:15,16.733,15.034,14.137,12.418,7.57,0.231,502.6,-9999
2009/07/29 10:30,16.983,15.154,14.139,12.416,8.13,0.231,522.6,180.2
2009/07/29 10:45,17.292,15.275,14.163,12.398,8.55,0.23,539.0,-9999
2009/07/29 11:00,17.517,15.426,14.178,12.423,8.87,0.23,553.6,191.9
2009/07/29 11:15,17.802,15.568,14.202,12.436,9.24,0.23,568.6,-9999
2009/07/29 11:30,17.979,15.691,14.263,12.397,9.66,0.23,580.0,225.7
2009/07/29 11:45,18.221,15.822,14.258,12.364,10.1,0.23,585.3,-9999
2009/07/29 12:00,18.444,16.0,14.311,12.419,10.57,0.23,588.7,192.4
2009/07/29 12:15,18.708,16.109,14.368,12.363,11.03,0.229,592.8,-9999
2009/07/29 12:30,18.949,16.283,14.411,12.368,11.37,0.229,594.0,202.3
2009/07/29 12:45,19.224,16.409,14.381,12.343,11.58,0.228,589.7,-9999
2009/07/29 13:00,19.542,16.57,14.418,12.354,11.62,0.228,584.9,171.1
2009/07/29 13:15,19.803,16.753,14.486,12.355,11.49,0.227,577.5,-9999
2009/07/29 13:30,19.984,16.916,14.53,12.319,11.29,0.227,567.4,175.3
2009/07/29 13:45,20.141,17.046,14.578,12.351,11.06,0.227,554.5,-9999
2009/07/29 14:00,20.218,17.17,14.61,12.315,10.88,0.227,540.7,146.7
2009/07/29 14:15,20.207,17.259,14.69,12.303,10.65,0.227,523.5,-9999
2009/07/29 14:30,20.196,17.369,14.73,12.292,10.39,0.228,502.0,146.4
2009/07/29 14:45,20.14,17.494,14.781,12.271,10.15,0.228,480.0,-9999
2009/07/29 15:00,20.112,17.526,14.84,12.254,9.91,0.228,456.2,125.2
2009/07/29 15:15,20.036,17.617,14.904,12.229,9.69,0.228,427.8,-9999
2009/07/29 15:30,19.955,17.612,14.948,12.239,9.47,0.228,403.5,116.8
2009/07/29 15:45,19.878,17.658,15.019,12.233,9.16,0.228,374.1,-9999
2009/07/29 16:00,19.804,17.682,15.07,12.242,8.87,0.228,342.8,89.0
2009/07/29 16:15,19.7,17.67,15.098,12.23,8.65,0.228,312.2,-9999
2009/07/29 16:30,19.617,17.7,15.12,12.242,8.39,0.228,278.1,60.3
2009/07/29 16:45,19.509,17.677,15.249,12.226,8.1,0.229,245.0,-9999
2009/07/29 17:00,19.408,17.67,15.309,12.217,7.81,0.229,212.4,40.2
2009/07/29 17:15,19.332,17.687,15.343,12.215,7.5,0.229,180.2,-9999
2009/07/29 17:30,19.227,17.683,15.385,12.239,7.17,0.229,147.4,23.9
2009/07/29 17:45,19.119,17.674,15.442,12.265,6.89,0.229,114.6,-9999
2009/07/29 18:00,19.015,17.638,15.485,12.273,6.63,0.229,82.8,13.6
2009/07/29 18:15,18.925,17.604,15.503,12.291,6.4,0.229,54.5,-9999
2009/07/29 18:30,18.854,17.612,15.53,12.302,6.19,0.229,28.1,8.6
2009/07/29 18:45,18.8,17.59,15.605,12.313,5.97,0.229,5.8,-9999
2009/07/29 19:00,18.706,17.558,15.67,12.321,5.73,0.229,-13.1,-2.4
2009/07/29 19:15,18.621,17.551,15.711,12.386,5.43,0.229,-31.3,-9999
2009/07/29 19:30,18.54,17.571,15.779,12.428,4.99,0.229,-42.0,-3.7
2009/07/29 19:45,18.369,17.517,15.827,12.442,4.48,0.229,-42.9,-9999
2009/07/29 20:00,18.174,17.494,15.851,12.491,3.86,0.229,-42.0,0.9
2009/07/29 20:15,17.944,17.433,15.881,12.502,3.22,0.23,-39.4,-9999
2009/07/29 20:30,17.718,17.322,15.871,12.557,2.55,0.23,-35.0,-2.2
2009/07/29 20:45,17.511,17.257,15.885,12.575,1.9,0.23,-31.7,-9999
2009/07/29 21:00,17.285,17.17,15.907,12.56,1.37,0.23,-31.2,8.5
2009/07/29 21:15,17.109,17.069,15.897,12.564,0.94,0.23,-30.9,-9999
2009/07/29 21:30,16.915,16.961,15.912,12.581,0.6,0.231,-30.0,0.6
2009/07/29 21:45,16.801,16.867,15.88,12.597,0.32,0.231,-37.8,-9999
2009/07/29 22:00,16.705,16.76,15.843,12.607,0.3,0.231,-39.1,-18.6
2009/07/29 22:15,16.609,16.659,15.835,12.603,0.49,0.231,-42.1,-9999
2009/07/29 22:30,16.541,16.567,15.79,12.616,0.67,0.231,-40.5,-15.8
2009/07/29 22:45,16.469,16.481,15.796,12.603,0.74,0.231,-39.9,-9999
2009/07/29 23:00,16.396,16.461,15.768,12.628,0.7,0.231,-34.6,-6.4
2009/07/29 23:15,16.273,16.4,15.742,12.63,0.51,0.231,-29.4,-9999
2009/07/29 23:30,16.193,16.32,15.733,12.654,0.27,0.231,-26.4,9.3
2009/07/29 23:45,16.08,16.249,15.697,12.633,0.1,0.231,-37.4,-9999
2009/07/30 00:00,15.993,16.189,15.668,12.669,0.16,0.231,-34.1,-26.4
